ID,ISOMERIC SMILES,MW,pAct
CHEMBL398617,CCC(=O)NCc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2N)cc1,373.17902697600005,8.0
CHEMBL5404427,Cc1nc2ccc(/C=C/CC(=O)NO)cc2c(=O)n1-c1ccccc1,335.126991404,4.761953896871205
CHEMBL564876,O=C(CCCCCC(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12)NO,375.19467704,6.136677139879544
CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,264.1473925,6.698970004336019
CHEMBL319738,O=C(CCCCCCC(O)c1ccc2ccccc2c1)NO,301.167793596,7.455931955649724
CHEMBL505469,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)NS(=O)(=O)C(F)(F)F)c3ncc(-c4ccc5ccccc5c4)[nH]3)c2c1,669.2232748480001,7.026872146400302
CHEMBL488747,O=C(CCCCCCC(=O)Nc1cccc(-c2cnnn2Cc2ccccc2)c1)NO,421.211389724,7.730487055782084
CHEMBL483693,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(Cc3ccccc3)nn2)c1)NO,421.21138972400007,7.838631997765025
CHEMBL483494,O=C(CCCCCCC(=O)Nc1ccc(-c2cn(Cc3ccc(F)cc3)nn2)cc1)NO,439.20196791200004,7.009661145212399
CHEMBL1084341,O=C(CCCCCNC(=O)NC(=O)c1ccc(N2CCOCC2)c([N+](=O)[O-])c1)NO,423.17539813999997,7.259637310505756
CHEMBL1083129,O=C(CCCCCN(Cc1ccccn1)C(=O)NC(=O)c1ccccc1)NO,384.179755248,4.8326826652518236
CHEMBL379049,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCCCC1,372.244664012,6.045757490560675
CHEMBL209551,CC(C)(C)OC(=O)N[C@@H](CCCCCS)C(=O)NC1CCCCC1,358.229013948,5.896196279044043
CHEMBL356066,O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,379.18959166,8.096910013008056
CHEMBL483477,O=C(CCCCCCC(=O)NCCc1ccccc1)NO,292.17869262799996,5.943095148663527
CHEMBL95749,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2ccc(/C=C/C(=O)NO)cc2)cc1,397.0402272,6.096910013008056
CHEMBL3098606,Cc1ccc(NC(=O)[C@H](CCCCCC(=O)NO)NC(=O)[C@H]2CCC(=O)N2)cc1,404.20596999599996,7.494850021680094
CHEMBL3098697,O=C(CCCCC[C@H](NC(=O)[C@@H]1CCCC(=O)N1)C(=O)NC1CCCC1)NO,396.237270124,5.838631997765025
CHEMBL3098694,O=C(CCCCC[C@H](NC(=O)C1C(=O)NCC1c1ccccc1)C(=O)Nc1ccccc1)NO,466.22162006,7.481486060122112
CHEMBL496094,O=C(c1ccc(C(=O)C(F)(F)F)s1)N1CCn2c(-c3ccccc3)cnc2C1,405.07588234800005,5.327902142064283
CHEMBL255594,Nc1ccc(-c2ccoc2)cc1NC(=O)c1cccnc1,279.100776656,6.795880017344075
CHEMBL257426,Nc1ccc(-c2ccc(CCC(=O)O)cc2)cc1NC(=O)c1cccnc1,361.142641468,4.886056647693163
CHEMBL270377,N#CCc1ccc(-c2ccc(N)c(NC(=O)c3cccnc3)c2)cc1,328.132411132,6.6020599913279625
CHEMBL271497,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2F)cc1,348.127406004,4.0
CHEMBL2442793,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3ccccc3OCCCC(=O)NO)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,592.2056952239999,6.2380721615794705
CHEMBL1080580,Cc1ccc(NC(=O)c2ccc(/C=C/C(=O)NO)cc2)cc1Nc1nc(-c2cccnc2)cs1,471.1365105320001,7.096910013008056
CHEMBL98911,O=C(CCCCCCC(=O)c1cccnc1)NO,250.131742436,6.815308569182402
CHEMBL95313,O=C(CCCCCCC(=O)c1ccc(-c2ccccc2)cc1)NO,325.167793596,8.301029995663981
CHEMBL96984,O=C(CCCCCC/C(=N\O)c1ccc2ccccc2c1)NO,314.163042564,8.070581074285707
CHEMBL400920,Nc1ccccc1NC(=O)c1ccc(C(C(=O)Nc2cccc(N3CCOCC3)c2)C(=O)Nc2cccc(N3CCOCC3)c2)cc1,634.290368316,7.346787486224656
CHEMBL389688,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,541.2689045999999,7.573488738635425
